PlanetNaturalId,HasLocalMarket,HasChamberOfCommerce,HasWarehouse,HasAdministrationCenter,HasShipyard,Gravity,Temperature,Pressure,Fertility,Surface
PG-241h,False,False,False,False,False,1.041806936264038,-212.86373901367188,1.245514154434204,-1,False
ZV-639a,False,True,True,True,False,0.4177207052707672,175.50100708007812,0.003447050228714943,-1,True
GY-110a,False,False,False,False,False,0.5866182446479797,144.734130859375,0.2183741331100464,-1,True
PG-710f,False,False,False,False,False,2.3277907371520996,-221.67372131347656,1.9799814224243164,-1,False
HM-049g,False,False,False,False,False,1.802412748336792,-195.42581176757812,1.7890986204147339,-1,False
NL-534b,False,False,False,False,False,0.8689919114112854,672.46435546875,7.7641215324401855,-1,True
NL-534a,False,False,False,False,False,1.3357264995574951,1162.3323974609375,5.294911861419678,-1,True
NL-044b,False,False,False,False,False,0.6476724147796631,216.5150146484375,25.798738479614258,-1,True
VH-043b,False,False,False,False,False,0.6180885434150696,-140.23745727539062,4.02420711517334,-1,True
EX-326c,False,False,False,False,False,0.879482090473175,-173.58799743652344,5.615248680114746,-1,True
EX-389b,False,False,False,False,False,1.0489908456802368,84.0420150756836,0.0000017802500451580272,-1,True
MG-630b,False,False,False,False,False,0.7591502666473389,199.28065490722656,2.7730157375335693,-1,True
XS-804h,False,False,False,False,False,1.3094260692596436,-238.63999938964844,0.505493700504303,-1,False
MG-630g,False,False,False,False,False,2.3729798793792725,-163.26339721679688,1.4196349382400513,-1,False
IY-112e,False,False,False,False,False,0.7195298671722412,-166.81748962402344,30.431468963623047,-1,True
SO-838c,True,True,True,True,False,0.6399441957473755,-18.824026107788086,1.2804406881332397,-1,True
GM-332f,False,False,False,False,False,0.9757313132286072,-233.0045166015625,0.9765124320983887,-1,False
YW-650a,False,False,False,False,False,1.2592827081680298,155.24310302734375,5.064793109893799,-1,True
LS-227b,False,False,False,False,False,0.6265829801559448,79.02783203125,3.596082925796509,-1,True
PG-502f,False,False,False,False,False,1.3132230043411255,-240.8290252685547,1.3113232851028442,-1,False
YI-280a,False,False,False,False,False,0.7196568250656128,393.0130615234375,0.5676189064979553,-1,True
PG-971h,False,False,False,False,False,2.7438995838165283,-241.12559509277344,1.1960906982421875,-1,False
GM-332a,False,False,False,False,False,1.3352382183074951,-128.30674743652344,23.01533317565918,-1,True
YA-462a,False,False,False,False,False,1.0211760997772217,442.9892883300781,34.5955924987793,-1,True
FW-918a,False,False,False,False,False,0.3895098865032196,89.598388671875,0.009301634505391121,-1,True
YA-997a,False,False,False,False,False,0.9997366666793823,262.98040771484375,0.33162960410118103,-1,True
NL-044e,False,False,False,False,False,0.9011587500572205,-105.79286193847656,3.609585762023926,-1,True
BI-805a,False,False,False,False,False,1.1828441619873047,464.3203430175781,5.392303943634033,-1,True
NL-743e,False,False,False,False,False,1.1659178733825684,-227.91065979003906,29.158445358276367,-1,True
YI-265i,False,False,False,False,False,1.580597162246704,-232.6419677734375,1.0917083024978638,-1,False
NL-534d,False,False,False,False,False,0.7521478533744812,215.27255249023438,2.315479278564453,-1,True
NL-044d,False,False,False,False,False,1.2403583526611328,-28.39805030822754,82.57552337646484,-1,True
NL-743a,False,False,False,False,False,0.9855232238769531,86.04918670654297,0.012856443412601948,-1,True
BI-805c,False,False,False,False,False,1.2862404584884644,-45.220855712890625,1.1075527667999268,-1,True
VI-291f,False,False,False,False,False,2.28764271736145,-168.95416259765625,0.7900621891021729,-1,False
XS-804c,False,False,False,False,False,0.7184604406356812,-124.9244384765625,5.972291946411133,-1,True
LA-236b,False,False,False,False,False,0.825619637966156,30.93893051147461,15.582493782043457,-1,True
PG-971c,False,False,False,False,False,1.013763189315796,-141.56114196777344,12.611222267150879,-1,True
KW-689f,False,False,False,False,False,0.6443239450454712,-212.38101196289062,1.4078774452209473,-1,False
EX-389c,False,False,False,False,False,0.3912011981010437,3.3570609092712402,0.014867393299937248,-1,True
PG-502d,False,False,False,False,False,0.4624156355857849,-184.366455078125,0.22054524719715118,-1,True
YA-997d,False,False,False,False,False,1.091748595237732,-41.06866455078125,97.16109466552734,-1,True
MG-630a,False,False,False,False,False,0.9882614612579346,174.158935546875,0.11280438303947449,-1,True
GH-527a,False,True,False,True,False,0.6160087585449219,-153.9651336669922,0.34682798385620117,-1,True
GM-332g,False,False,False,False,False,1.789618968963623,-204.2282257080078,1.8211873769760132,-1,False
EX-071a,False,False,False,False,False,1.2644977569580078,442.05584716796875,47.555458068847656,-1,True
MG-630d,False,False,False,False,False,0.9574447274208069,-87.9222183227539,5.529742240905762,-1,True
PG-973c,False,False,False,False,False,0.9876470565795898,-158.4075927734375,5.176394462585449,-1,True
AU-130a,False,False,False,False,False,0.37050744891166687,122.45875549316406,0.14963865280151367,-1,True
EY-430a,False,False,False,False,False,1.0443565845489502,747.4470825195312,30.45032501220703,-1,True
YI-265d,False,False,False,False,False,0.8217706680297852,-93.43366241455078,16.931053161621094,-1,True
YA-462d,False,False,False,False,False,0.793583333492279,-140.84097290039062,0.7110072374343872,-1,False
LS-227j,False,False,False,False,False,1.2059803009033203,-218.17559814453125,20.205032348632812,-1,True
XU-112e,False,False,False,False,False,1.1713781356811523,-218.3575439453125,1.091097354888916,-1,True
YA-997f,False,False,False,False,False,1.4031624794006348,-167.06866455078125,1.5008957386016846,-1,False
GM-332e,False,False,False,False,False,1.4892877340316772,-201.04873657226562,132.6797332763672,-1,True
AU-130b,False,False,False,False,False,0.4154730439186096,62.08367156982422,0.038374822586774826,-1,True
PG-241g,False,False,False,False,False,2.7165682315826416,-206.45008850097656,1.8067885637283325,-1,False
YI-265c,False,False,False,False,False,0.7050364017486572,-3.2288331985473633,4.3231682777404785,-1,True
XG-751a,False,False,False,False,False,0.8196560740470886,379.2870178222656,42.8704948425293,-1,True
YP-225a,False,False,False,False,False,1.0736621618270874,5.353420257568359,47.00563430786133,-1,True
PG-971b,False,False,False,False,False,0.9484803080558777,-38.622222900390625,4.625861167907715,-1,True
OT-680f,False,False,False,False,False,2.4595751762390137,-141.43592834472656,1.1974385976791382,-1,False
YA-997b,False,False,False,False,False,1.1247659921646118,76.37232971191406,0.5229664444923401,-1,True
SL-620a,False,False,False,False,False,0.633456826210022,363.7917785644531,2.4224960803985596,-1,True
GY-110d,False,False,False,False,False,1.162069320678711,-80.08924865722656,46.55482482910156,-1,True
LG-093a,True,True,True,True,False,0.23265340924263,-135.93524169921875,0.016199786216020584,-1,True
