NaturalId,Name
PG-241h,PG-241h
NL-534a,NL-534a
NL-044b,NL-044b
DX-325b,DX-325b
SO-838c,SO-838c
PG-710f,PG-710f
CC-558a,CC-558a
YA-462a,YA-462a
XS-804h,XS-804h
EX-389b,EX-389b
PG-502f,PG-502f
GM-332a,GM-332a
PG-971h,PG-971h
EX-326c,EX-326c
GY-110a,GY-110a
VH-043b,VH-043b
NL-534b,NL-534b
MG-630b,MG-630b
NL-743e,NL-743e
MG-630g,MG-630g
HM-049g,HM-049g
IY-112e,IY-112e
YW-650a,YW-650a
YI-265i,YI-265i
NL-044e,NL-044e
BI-805a,BI-805a
YA-997a,YA-997a
YI-280a,YI-280a
GM-332f,GM-332f
LS-227b,LS-227b
ZV-639a,ZV-639a
FW-918a,FW-918a
NL-534d,NL-534d
GH-527a,GH-527a
BI-805c,BI-805c
YA-997d,YA-997d
NL-743a,NL-743a
NL-044d,NL-044d
LA-236b,LA-236b
XS-804c,XS-804c
EX-071a,EX-071a
MG-630a,MG-630a
GM-332g,GM-332g
EX-389c,EX-389c
VI-291f,VI-291f
AU-130a,AU-130a
KW-689f,KW-689f
PG-241g,PG-241g
PG-502d,PG-502d
PG-971c,PG-971c
PG-973c,PG-973c
YA-462d,YA-462d
EY-430a,EY-430a
MG-630d,MG-630d
YI-265d,YI-265d
YA-997f,YA-997f
GM-332e,GM-332e
AU-130b,AU-130b
LS-227j,LS-227j
XU-112e,XU-112e
YP-225a,YP-225a
LG-093a,LG-093a
GY-110d,GY-110d
XG-751a,XG-751a
XG-287h,XG-287h
YI-265c,YI-265c
YA-997b,YA-997b
YI-683c,Arcadia
BI-805b,BI-805b
AU-130c,AU-130c
PD-754d,Ashland
RC-040c,Ironforge
NL-534c,NL-534c
PG-971b,PG-971b
NL-044c,NL-044c
SL-620a,SL-620a
VH-778c,Kinngait
LS-014a,Volta
ZV-896a,ZV-896a
MG-885a,MG-885a
MG-885h,MG-885h
OT-823b,OT-823b
OT-680f,OT-680f
MG-630f,MG-630f
NL-534h,NL-534h
YI-280i,YI-280i
MG-630j,MG-630j
YA-997e,YA-997e
GM-332b,GM-332b
NL-743b,NL-743b
NL-044g,NL-044g
BI-805d,BI-805d
AU-130d,AU-130d
CC-558b,CC-558b
JS-637d,JS-637d
MG-885f,MG-885f
NJ-553h,NJ-553h
OT-680d,OT-680d
KW-689h,KW-689h
PG-971e,PG-971e
OT-113d,OT-113d
NL-534e,NL-534e
MG-630c,MG-630c
HM-049c,HM-049c
DX-325a,DX-325a
YA-997c,YA-997c
YI-280g,YI-280g
NJ-553a,NJ-553a
JS-637c,JS-637c
SE-052c,SE-052c
XS-804g,XS-804g
GM-332h,GM-332h
EX-071b,EX-071b
UQ-328d,UQ-328d
LG-298b,LG-298b
NG-164c,NG-164c
HY-608a,HY-608a
EM-929a,EM-929a
RC-659c,RC-659c
NJ-553f,NJ-553f
NL-534f,NL-534f
NL-044f,NL-044f
DX-325d,DX-325d
YA-997g,YA-997g
JS-637f,JS-637f
EM-929f,EM-929f
WX-318d,WX-318d
MG-630e,MG-630e
LA-236a,LA-236a
UQ-328c,UQ-328c
XS-804a,XS-804a
LG-150a,LG-150a
WX-556a,WX-556a
MG-885d,MG-885d
EE-233g,EE-233g
UQ-328a,UQ-328a
JY-136c,JY-136c
YI-280c,YI-280c
IV-524a,IV-524a
NL-534g,NL-534g
NL-743f,NL-743f
NJ-553b,NJ-553b
EM-929e,EM-929e
RC-659a,RC-659a
NL-044h,NL-044h
LA-236c,LA-236c
SE-052d,SE-052d
